"env";"gid";"value"
"1";"1_PI_LN";"L001xL002";6.49743884017909
"2";"1_PI_LN";"L001xL003";3.92981641383122
"3";"1_PI_LN";"L001xL005";3.90405549032549
"4";"1_PI_LN";"L001xL014C";3.81191821983122
"5";"1_PI_LN";"L001xL023";3.76846994383122
"6";"1_PI_LN";"L001xL034";5.38945516583122
"7";"1_PI_LN";"L001xL038";6.49530081483122
"8";"1_PI_LN";"L001xL039";6.36746563063056
"9";"1_PI_LN";"L001xL046";6.18078521483122
"10";"1_PI_LN";"L001xL056";6.00188537883122
"11";"1_PI_LN";"L002xL003";3.76772835663056
"12";"1_PI_LN";"L002xL008";3.93729058956586
"13";"1_PI_LN";"L002xL010";4.62971905627793
"14";"1_PI_LN";"L002xL014";5.02326625178583
"15";"1_PI_LN";"L002xL014C";0.293666609440271
"16";"1_PI_LN";"L002xL015";4.70127839452148
"17";"1_PI_LN";"L002xL016";3.38766671103719
"18";"1_PI_LN";"L002xL017";2.36712503678583
"19";"1_PI_LN";"L002xL019";6.10530120944027
"20";"1_PI_LN";"L002xL022";3.25811237938986
"21";"1_PI_LN";"L002xL023";2.50337091490373
"22";"1_PI_LN";"L002xL029";4.53229645652148
"23";"1_PI_LN";"L002xL031";4.84600296992449
"24";"1_PI_LN";"L002xL034";0.901492317873287
"25";"1_PI_LN";"L002xL038";4.73969275390373
"26";"1_PI_LN";"L002xL041";3.57523775632549
"27";"1_PI_LN";"L002xL045";4.89964296811525
"28";"1_PI_LN";"L002xL056";4.45306235461135
"29";"1_PI_LN";"L003xL005";2.75254157109909
"30";"1_PI_LN";"L003xL006";3.82280628403719
"31";"1_PI_LN";"L003xL007";3.78009424947092
"32";"1_PI_LN";"L003xL008";4.39874635489714
"33";"1_PI_LN";"L003xL010";3.89947275027793
"34";"1_PI_LN";"L003xL011";4.04217557378565
"35";"1_PI_LN";"L003xL013";3.71243752842319
"36";"1_PI_LN";"L003xL014B";4.84027554625165
"37";"1_PI_LN";"L003xL015";3.70606736787329
"38";"1_PI_LN";"L003xL023";2.94866567847092
"39";"1_PI_LN";"L003xL026";1.37543480032549
"40";"1_PI_LN";"L003xL028";3.49799637632549
"41";"1_PI_LN";"L003xL029";4.01542869831708
"42";"1_PI_LN";"L003xL031";3.54489523278827
"43";"1_PI_LN";"L003xL034";5.49214290187329
"44";"1_PI_LN";"L003xL039";4.08754648392449
"45";"1_PI_LN";"L003xL041";4.10946260784776
"46";"1_PI_LN";"L003xL042";4.76183219792449
"47";"1_PI_LN";"L003xL043";3.73633252617713
"48";"1_PI_LN";"L003xL044";4.68970284683152
"49";"1_PI_LN";"L003xL045";1.3335103114351
"50";"1_PI_LN";"L003xL047";1.17314707563056
"51";"1_PI_LN";"L003xL048";2.32308744517909
"52";"1_PI_LN";"L003xL049";3.52458953587329
"53";"1_PI_LN";"L003xL056";5.83309222395751
"54";"1_PI_LN";"L005xL006";3.41152065231707
"55";"1_PI_LN";"L005xL007";3.44049333238986
"56";"1_PI_LN";"L005xL008";3.46529157311525
"57";"1_PI_LN";"L005xL014C";4.03892907625165
"58";"1_PI_LN";"L005xL015";2.47405224409909
"59";"1_PI_LN";"L005xL017";5.92386876431708
"60";"1_PI_LN";"L005xL024";3.44828869709909
"61";"1_PI_LN";"L005xL035";2.66062037325165
"62";"1_PI_LN";"L005xL038";4.28636751509909
"63";"1_PI_LN";"L005xL039";4.06361669611525
"64";"1_PI_LN";"L005xL041";2.20722917511525
"65";"1_PI_LN";"L005xL044";3.50406102595751
"66";"1_PI_LN";"L005xL045";3.53204610331707
"67";"1_PI_LN";"L005xL046";4.60894904656586
"68";"1_PI_LN";"L005xL047";2.57570208211525
"69";"1_PI_LN";"L005xL048";2.92809163825165
"70";"1_PI_LN";"L005xL055";2.83141734795751
"71";"1_PI_LN";"L005xL056";3.20001282025165
"72";"1_PI_LN";"L006xL007";5.50896124447092
"73";"1_PI_LN";"L006xL007B";4.01907850839267
"74";"1_PI_LN";"L006xL011";5.38931410110077
"75";"1_PI_LN";"L006xL013";4.63164935142319
"76";"1_PI_LN";"L006xL014C";2.40167398320517
"77";"1_PI_LN";"L006xL015";4.04429721445356
"78";"1_PI_LN";"L006xL016";4.83778220264279
"79";"1_PI_LN";"L006xL018";6.01943528468578
"80";"1_PI_LN";"L006xL022";5.55737695911525
"81";"1_PI_LN";"L006xL023";5.59890541547092
"82";"1_PI_LN";"L006xL025";4.45717273583122
"83";"1_PI_LN";"L006xL026";4.67661706632549
"84";"1_PI_LN";"L006xL029";4.53686160082598
"85";"1_PI_LN";"L006xL031";3.91954921565415
"86";"1_PI_LN";"L006xL033";4.45789639627793
"87";"1_PI_LN";"L006xL034";6.14884818052148
"88";"1_PI_LN";"L006xL037";4.71883778836495
"89";"1_PI_LN";"L006xL038";3.73960432483152
"90";"1_PI_LN";"L006xL039";7.38444780782598
"91";"1_PI_LN";"L006xL041";4.22782128895751
"92";"1_PI_LN";"L006xL042";3.08037607003719
"93";"1_PI_LN";"L006xL049";4.97906932421758
"94";"1_PI_LN";"L006xL054";4.94061753231708
"95";"1_PI_LN";"L006xL058";4.46930201078565
"96";"1_PI_LN";"L007xL008";4.34963462600989
"97";"1_PI_LN";"L007xL010";5.25943528468578
"98";"1_PI_LN";"L007xL011";5.07690727489714
"99";"1_PI_LN";"L007xL012";4.27699870836495
"100";"1_PI_LN";"L007xL014B";4.95043221421758
"571";"1_PI_IN";"L001xL002";5.11276724038397
"572";"1_PI_IN";"L001xL003";3.82823730230838
"573";"1_PI_IN";"L001xL005";4.94202793079207
"574";"1_PI_IN";"L001xL014C";6.08941956830838
"575";"1_PI_IN";"L001xL023";5.77833582430838
"576";"1_PI_IN";"L001xL034";7.41606981430838
"577";"1_PI_IN";"L001xL038";6.16079887830838
"578";"1_PI_IN";"L001xL039";6.23249768969844
"579";"1_PI_IN";"L001xL046";7.64424715430838
"580";"1_PI_IN";"L001xL056";8.16219460930838
"581";"1_PI_IN";"L002xL003";3.05259621169844
"582";"1_PI_IN";"L002xL008";6.96987935515251
"583";"1_PI_IN";"L002xL010";3.49358425378313
"584";"1_PI_IN";"L002xL014";5.9134276388388
"585";"1_PI_IN";"L002xL014C";1.15657640714755
"586";"1_PI_IN";"L002xL015";3.96649405995401
"587";"1_PI_IN";"L002xL016";4.62267372223584
"588";"1_PI_IN";"L002xL017";5.4979268178388
"589";"1_PI_IN";"L002xL019";7.18953207214755
"590";"1_PI_IN";"L002xL022";4.56813425371455
"591";"1_PI_IN";"L002xL023";3.98321892899142
"592";"1_PI_IN";"L002xL029";4.15838240095401
"593";"1_PI_IN";"L002xL031";5.50708705948079
"594";"1_PI_IN";"L002xL034";5.47899064912053
"595";"1_PI_IN";"L002xL038";5.46770168699142
"596";"1_PI_IN";"L002xL041";5.60496717579207
"597";"1_PI_IN";"L002xL045";7.58782339342003
"598";"1_PI_IN";"L002xL056";4.37119707759636
"599";"1_PI_IN";"L003xL005";5.21197236596693
"600";"1_PI_IN";"L003xL006";4.58592495423584
"601";"1_PI_IN";"L003xL007";6.48783195087252
"602";"1_PI_IN";"L003xL008";4.59563902028807
"603";"1_PI_IN";"L003xL010";3.12957768578313
"604";"1_PI_IN";"L003xL011";4.80064891669392
"605";"1_PI_IN";"L003xL013";5.48191059824192
"606";"1_PI_IN";"L003xL014B";3.95996657703023
"607";"1_PI_IN";"L003xL015";2.62979524712053
"608";"1_PI_IN";"L003xL023";3.33988449687252
"609";"1_PI_IN";"L003xL026";2.56370280779207
"610";"1_PI_IN";"L003xL028";3.28892448279207
"611";"1_PI_IN";"L003xL029";3.96358385317709
"612";"1_PI_IN";"L003xL031";4.68710963312529
"613";"1_PI_IN";"L003xL034";6.67064910512053
"614";"1_PI_IN";"L003xL039";5.01344173948078
"615";"1_PI_IN";"L003xL041";4.83063719680708
"616";"1_PI_IN";"L003xL042";4.97624962048079
"617";"1_PI_IN";"L003xL043";4.92587298928654
"618";"1_PI_IN";"L003xL044";3.0227612607175
"619";"1_PI_IN";"L003xL045";4.16749750024084
"620";"1_PI_IN";"L003xL047";2.03318734469844
"621";"1_PI_IN";"L003xL048";2.70518103338398
"622";"1_PI_IN";"L003xL049";5.20636339112053
"623";"1_PI_IN";"L003xL056";5.79777111006961
"624";"1_PI_IN";"L005xL006";6.62204033917709
"625";"1_PI_IN";"L005xL007";4.25634443371455
"626";"1_PI_IN";"L005xL008";3.43076263842003
"627";"1_PI_IN";"L005xL014C";4.11750352203023
"628";"1_PI_IN";"L005xL015";3.98033032996693
"629";"1_PI_IN";"L005xL017";4.01107153817709
"630";"1_PI_IN";"L005xL024";2.93369650396693
"631";"1_PI_IN";"L005xL035";4.21086969603023
"632";"1_PI_IN";"L005xL038";2.82259633996693
"633";"1_PI_IN";"L005xL039";3.20900565942003
"634";"1_PI_IN";"L005xL041";4.93033570842003
"635";"1_PI_IN";"L005xL044";3.13562004306961
"636";"1_PI_IN";"L005xL045";3.32896973217709
"637";"1_PI_IN";"L005xL046";5.31470694115251
"638";"1_PI_IN";"L005xL047";3.38794601642003
"639";"1_PI_IN";"L005xL048";4.35477774203023
"640";"1_PI_IN";"L005xL055";3.46378096206961
"641";"1_PI_IN";"L005xL056";5.59178923703023
"642";"1_PI_IN";"L006xL007";5.64392390487252
"643";"1_PI_IN";"L006xL007B";3.58120551256627
"644";"1_PI_IN";"L006xL011";6.27470675028004
"645";"1_PI_IN";"L006xL013";4.64861010524192
"646";"1_PI_IN";"L006xL014C";5.65248716777841
"647";"1_PI_IN";"L006xL015";4.56984631413624
"648";"1_PI_IN";"L006xL016";8.45102255184462
"649";"1_PI_IN";"L006xL018";7.58566916782429
"650";"1_PI_IN";"L006xL022";6.60153439542003
"651";"1_PI_IN";"L006xL023";4.62858728787252
"652";"1_PI_IN";"L006xL025";4.87344255730838
"653";"1_PI_IN";"L006xL026";4.32087850579207
"654";"1_PI_IN";"L006xL029";6.74661926772176
"655";"1_PI_IN";"L006xL031";5.13984182078821
"656";"1_PI_IN";"L006xL033";4.27765650378312
"657";"1_PI_IN";"L006xL034";6.37982739295401
"658";"1_PI_IN";"L006xL037";6.20867704018129
"659";"1_PI_IN";"L006xL038";4.5958975497175
"660";"1_PI_IN";"L006xL039";6.69033026872176
"661";"1_PI_IN";"L006xL041";6.36023416406961
"662";"1_PI_IN";"L006xL042";5.02152429723584
"663";"1_PI_IN";"L006xL049";4.33742508619539
"664";"1_PI_IN";"L006xL054";3.91272999517709
"665";"1_PI_IN";"L006xL058";6.41877699469392
"666";"1_PI_IN";"L007xL008";7.05634737556162
"667";"1_PI_IN";"L007xL010";3.78185964482429
"668";"1_PI_IN";"L007xL011";5.00803639328807
"669";"1_PI_IN";"L007xL012";5.79606620318129
"670";"1_PI_IN";"L007xL014B";4.27589799319539
"1141";"1_AN_LN";"L001xL002";5.84957019071654
"1142";"1_AN_LN";"L001xL003";7.65129014371107
"1143";"1_AN_LN";"L001xL005";6.01928441234865
"1144";"1_AN_LN";"L001xL014C";5.86010787771107
"1145";"1_AN_LN";"L001xL023";4.85687306571107
"1146";"1_AN_LN";"L001xL034";4.74996009371107
"1147";"1_AN_LN";"L001xL038";3.27803891171107
"1148";"1_AN_LN";"L001xL039";7.91655690657367
"1149";"1_AN_LN";"L001xL046";5.13966452771107
"1150";"1_AN_LN";"L001xL056";7.78240672771107
"1151";"1_AN_LN";"L002xL003";4.12069483757367
"1152";"1_AN_LN";"L002xL008";6.32899199225521
"1153";"1_AN_LN";"L002xL010";7.24321828316825
"1154";"1_AN_LN";"L002xL014";8.52995307745933
"1155";"1_AN_LN";"L002xL014C";5.30474642230974
"1156";"1_AN_LN";"L002xL015";4.29027559969451
"1157";"1_AN_LN";"L002xL016";7.38873710905349
"1158";"1_AN_LN";"L002xL017";10.3852732774593
"1159";"1_AN_LN";"L002xL019";10.3290157133097
"1160";"1_AN_LN";"L002xL022";6.39959806685642
"1161";"1_AN_LN";"L002xL023";5.02453263314637
"1162";"1_AN_LN";"L002xL029";4.90403586269451
"1163";"1_AN_LN";"L002xL031";7.14471237428409
"1164";"1_AN_LN";"L002xL034";1.6885106687311
"1165";"1_AN_LN";"L002xL038";2.31847351914637
"1166";"1_AN_LN";"L002xL041";5.58253564434865
"1167";"1_AN_LN";"L002xL045";9.38439338270288
"1168";"1_AN_LN";"L002xL056";6.17172683094751
"1169";"1_AN_LN";"L003xL005";5.20674640523897
"1170";"1_AN_LN";"L003xL006";3.29998505605349
"1171";"1_AN_LN";"L003xL007";5.10692395614044
"1172";"1_AN_LN";"L003xL008";5.87169021700193
"1173";"1_AN_LN";"L003xL010";6.26630531116825
"1174";"1_AN_LN";"L003xL011";6.90041238528033
"1175";"1_AN_LN";"L003xL013";4.48869128023544
"1176";"1_AN_LN";"L003xL014B";7.15790346756233
"1177";"1_AN_LN";"L003xL015";4.8208752007311
"1178";"1_AN_LN";"L003xL023";5.26741656714044
"1179";"1_AN_LN";"L003xL026";2.06503153934865
"1180";"1_AN_LN";"L003xL028";4.57793794334865
"1181";"1_AN_LN";"L003xL029";5.32550330167873
"1182";"1_AN_LN";"L003xL031";6.82293772461976
"1183";"1_AN_LN";"L003xL034";5.2515320147311
"1184";"1_AN_LN";"L003xL039";6.75014751428409
"1185";"1_AN_LN";"L003xL041";3.50662035471173
"1186";"1_AN_LN";"L003xL042";2.82673207928409
"1187";"1_AN_LN";"L003xL043";7.6636190458168
"1188";"1_AN_LN";"L003xL044";5.2917933594683
"1189";"1_AN_LN";"L003xL045";4.61740125952201
"1190";"1_AN_LN";"L003xL047";2.41989024057367
"1191";"1_AN_LN";"L003xL048";3.31771468971654
"1192";"1_AN_LN";"L003xL049";6.7926157587311
"1193";"1_AN_LN";"L003xL056";8.61911938135315
"1194";"1_AN_LN";"L005xL006";5.14712891767873
"1195";"1_AN_LN";"L005xL007";4.46992647385642
"1196";"1_AN_LN";"L005xL008";6.24409781670288
"1197";"1_AN_LN";"L005xL014C";4.56525978856233
"1198";"1_AN_LN";"L005xL015";5.99958712723897
"1199";"1_AN_LN";"L005xL017";3.54703039567873
"1200";"1_AN_LN";"L005xL024";5.01590896623897
"1201";"1_AN_LN";"L005xL035";5.05250116856233
"1202";"1_AN_LN";"L005xL038";4.37308466423897
"1203";"1_AN_LN";"L005xL039";4.98698779970288
"1204";"1_AN_LN";"L005xL041";3.18480389170288
"1205";"1_AN_LN";"L005xL044";3.19695189335315
"1206";"1_AN_LN";"L005xL045";7.02732596267873
"1207";"1_AN_LN";"L005xL046";5.74946818325521
"1208";"1_AN_LN";"L005xL047";3.88610110070288
"1209";"1_AN_LN";"L005xL048";2.71910215356233
"1210";"1_AN_LN";"L005xL055";2.96562184435315
"1211";"1_AN_LN";"L005xL056";2.77782136556233
"1212";"1_AN_LN";"L006xL007";4.04406681314044
"1213";"1_AN_LN";"L006xL007B";3.27634700318158
"1214";"1_AN_LN";"L006xL011";3.83083168923309
"1215";"1_AN_LN";"L006xL013";4.84872412023544
"1216";"1_AN_LN";"L006xL014C";1.93292007698567
"1217";"1_AN_LN";"L006xL015";3.32418767105922
"1218";"1_AN_LN";"L006xL016";1.99652924244816
"1219";"1_AN_LN";"L006xL018";3.63131014149107
"1220";"1_AN_LN";"L006xL022";5.53211095270288
"1221";"1_AN_LN";"L006xL023";5.36199784814044
"1222";"1_AN_LN";"L006xL025";3.44041986471107
"1223";"1_AN_LN";"L006xL026";3.71856191634865
"1224";"1_AN_LN";"L006xL029";8.24140242934869
"1225";"1_AN_LN";"L006xL031";3.89094095883775
"1226";"1_AN_LN";"L006xL033";4.81170761016825
"1227";"1_AN_LN";"L006xL034";3.44879776769451
"1228";"1_AN_LN";"L006xL037";4.79096839158778
"1229";"1_AN_LN";"L006xL038";4.1683450834683
"1230";"1_AN_LN";"L006xL039";2.32885727334869
"1231";"1_AN_LN";"L006xL041";7.63636076035315
"1232";"1_AN_LN";"L006xL042";4.35093743705349
"1233";"1_AN_LN";"L006xL049";4.41119978604735
"1234";"1_AN_LN";"L006xL054";1.62780215267873
"1235";"1_AN_LN";"L006xL058";4.47341731128033
"1236";"1_AN_LN";"L007xL008";6.75027658957187
"1237";"1_AN_LN";"L007xL010";6.53126088049107
"1238";"1_AN_LN";"L007xL011";3.41549974100193
"1239";"1_AN_LN";"L007xL012";6.03175656858778
"1240";"1_AN_LN";"L007xL014B";5.12092064004735
"1711";"1_AN_IN";"L001xL002";8.64
"1712";"1_AN_IN";"L001xL003";6.121773399
"1713";"1_AN_IN";"L001xL005";5.806896552
"1714";"1_AN_IN";"L001xL014C";8.077241379
"1715";"1_AN_IN";"L001xL023";4.686699507
"1716";"1_AN_IN";"L001xL034";7.884745484
"1717";"1_AN_IN";"L001xL038";6.216896552
"1718";"1_AN_IN";"L001xL039";9.375238095
"1719";"1_AN_IN";"L001xL046";10.31802956
"1720";"1_AN_IN";"L001xL056";9.12955665
"1721";"1_AN_IN";"L002xL003";7.82226601
"1722";"1_AN_IN";"L002xL008";7.330837438
"1723";"1_AN_IN";"L002xL010";7.76
"1724";"1_AN_IN";"L002xL014";7.495632184
"1725";"1_AN_IN";"L002xL014C";3.989228243
"1726";"1_AN_IN";"L002xL015";9.313563218
"1727";"1_AN_IN";"L002xL016";9.52729064
"1728";"1_AN_IN";"L002xL017";8.752939245
"1729";"1_AN_IN";"L002xL019";11.69655172
"1730";"1_AN_IN";"L002xL022";8.086305419
"1731";"1_AN_IN";"L002xL023";6.673103448
"1732";"1_AN_IN";"L002xL029";9.803037767
"1733";"1_AN_IN";"L002xL031";8.834646962
"1734";"1_AN_IN";"L002xL034";4.971034483
"1735";"1_AN_IN";"L002xL038";7.941724138
"1736";"1_AN_IN";"L002xL041";9.763661741
"1737";"1_AN_IN";"L002xL045";11.51098522
"1738";"1_AN_IN";"L002xL056";10.1816092
"1739";"1_AN_IN";"L003xL005";6.729474548
"1740";"1_AN_IN";"L003xL006";7.722561576
"1741";"1_AN_IN";"L003xL007";7.845517241
"1742";"1_AN_IN";"L003xL008";6.74137931
"1743";"1_AN_IN";"L003xL010";4.024433498
"1744";"1_AN_IN";"L003xL011";6.353990148
"1745";"1_AN_IN";"L003xL013";5.824827586
"1746";"1_AN_IN";"L003xL014B";6.76729064
"1747";"1_AN_IN";"L003xL015";3.154351396
"1748";"1_AN_IN";"L003xL023";5.572906404
"1749";"1_AN_IN";"L003xL026";4.010591133
"1750";"1_AN_IN";"L003xL028";3.027881773
"1751";"1_AN_IN";"L003xL029";5.375599343
"1752";"1_AN_IN";"L003xL031";6.50591133
"1753";"1_AN_IN";"L003xL034";6.008850575
"1754";"1_AN_IN";"L003xL039";8.515566502
"1755";"1_AN_IN";"L003xL041";6.587848933
"1756";"1_AN_IN";"L003xL042";4.814696223
"1757";"1_AN_IN";"L003xL043";6.60180624
"1758";"1_AN_IN";"L003xL044";4.667586207
"1759";"1_AN_IN";"L003xL045";6.283546798
"1760";"1_AN_IN";"L003xL047";2.064137931
"1761";"1_AN_IN";"L003xL048";4.885714286
"1762";"1_AN_IN";"L003xL049";7.16183908
"1763";"1_AN_IN";"L003xL056";6.510394089
"1764";"1_AN_IN";"L005xL006";5.055500821
"1765";"1_AN_IN";"L005xL007";7.187848933
"1766";"1_AN_IN";"L005xL008";5.505648604
"1767";"1_AN_IN";"L005xL014C";3.164137931
"1768";"1_AN_IN";"L005xL015";6.372807882
"1769";"1_AN_IN";"L005xL017";6.279934319
"1770";"1_AN_IN";"L005xL024";3.793399015
"1771";"1_AN_IN";"L005xL035";6.410344828
"1772";"1_AN_IN";"L005xL038";2.056551724
"1773";"1_AN_IN";"L005xL039";3.8391133
"1774";"1_AN_IN";"L005xL041";5.50272578
"1775";"1_AN_IN";"L005xL044";5.063727422
"1776";"1_AN_IN";"L005xL045";7.175172414
"1777";"1_AN_IN";"L005xL046";5.683152709
"1778";"1_AN_IN";"L005xL047";5.614827586
"1779";"1_AN_IN";"L005xL048";5.314712644
"1780";"1_AN_IN";"L005xL055";4.683793103
"1781";"1_AN_IN";"L005xL056";2.885763547
"1782";"1_AN_IN";"L006xL007";4.545336617
"1783";"1_AN_IN";"L006xL007B";3.703037767
"1784";"1_AN_IN";"L006xL011";2.48954023
"1785";"1_AN_IN";"L006xL013";6.038489327
"1786";"1_AN_IN";"L006xL014C";4.954844007
"1787";"1_AN_IN";"L006xL015";4.809458128
"1788";"1_AN_IN";"L006xL016";7.09955665
"1789";"1_AN_IN";"L006xL018";8.872955665
"1790";"1_AN_IN";"L006xL022";5.791494253
"1791";"1_AN_IN";"L006xL023";6.865812808
"1792";"1_AN_IN";"L006xL025";3.517241379
"1793";"1_AN_IN";"L006xL026";4.897339901
"1794";"1_AN_IN";"L006xL029";8.157586207
"1795";"1_AN_IN";"L006xL031";7.092413793
"1796";"1_AN_IN";"L006xL033";4.100558292
"1797";"1_AN_IN";"L006xL034";6.688604269
"1798";"1_AN_IN";"L006xL037";3.905287356
"1799";"1_AN_IN";"L006xL038";3.505747126
"1800";"1_AN_IN";"L006xL039";5.469917898
"1801";"1_AN_IN";"L006xL041";4.169064039
"1802";"1_AN_IN";"L006xL042";3.806568144
"1803";"1_AN_IN";"L006xL049";5.686666667
"1804";"1_AN_IN";"L006xL054";2.98679803
"1805";"1_AN_IN";"L006xL058";8.596091954
"1806";"1_AN_IN";"L007xL008";8.740344828
"1807";"1_AN_IN";"L007xL010";5.206075534
"1808";"1_AN_IN";"L007xL011";7.539178982
"1809";"1_AN_IN";"L007xL012";6.937536946
"1810";"1_AN_IN";"L007xL014B";6.895402299
"2281";"2_PI_LN";"L001xL002";6.15210099672069
"2282";"2_PI_LN";"L001xL003";4.88001863568466
"2283";"2_PI_LN";"L001xL005";4.74755797159872
"2284";"2_PI_LN";"L001xL014C";5.45288078888974
"2285";"2_PI_LN";"L001xL023";3.34305753144377
"2286";"2_PI_LN";"L001xL034";4.51796777926957
"2287";"2_PI_LN";"L001xL038";4.38809255512023
"2288";"2_PI_LN";"L001xL039";5.12308506559872
"2289";"2_PI_LN";"L001xL046";3.57172144421206
"2290";"2_PI_LN";"L001xL056";7.36954264863154
"2291";"2_PI_LN";"L002xL003";3.34504927132952
"2292";"2_PI_LN";"L002xL008";4.77760305744912
"2293";"2_PI_LN";"L002xL010";3.50291717554955
"2294";"2_PI_LN";"L002xL014";4.37289748415552
"2295";"2_PI_LN";"L002xL014C";3.98459029402217
"2296";"2_PI_LN";"L002xL015";4.44212899754955
"2297";"2_PI_LN";"L002xL016";2.97317247344377
"2298";"2_PI_LN";"L002xL017";5.58192716718162
"2299";"2_PI_LN";"L002xL019";5.35803862527461
"2300";"2_PI_LN";"L002xL022";4.78662526969135
"2301";"2_PI_LN";"L002xL023";2.49158234018162
"2302";"2_PI_LN";"L002xL029";5.31769585450423
"2303";"2_PI_LN";"L002xL031";4.79846542582426
"2304";"2_PI_LN";"L002xL034";4.94069299944377
"2305";"2_PI_LN";"L002xL038";4.10607082807839
"2306";"2_PI_LN";"L002xL041";4.35357872582426
"2307";"2_PI_LN";"L002xL045";5.42555419079711
"2308";"2_PI_LN";"L002xL056";6.26751332779467
"2309";"2_PI_LN";"L003xL005";4.95327450455867
"2310";"2_PI_LN";"L003xL006";3.74310410588974
"2311";"2_PI_LN";"L003xL007";6.17811387468466
"2312";"2_PI_LN";"L003xL008";4.72462214400345
"2313";"2_PI_LN";"L003xL010";4.45961432782104
"2314";"2_PI_LN";"L003xL011";5.48957697426957
"2315";"2_PI_LN";"L003xL013";3.60381530337247
"2316";"2_PI_LN";"L003xL014B";5.01415497126957
"2317";"2_PI_LN";"L003xL015";3.8419986353086
"2318";"2_PI_LN";"L003xL023";2.93706486895247
"2319";"2_PI_LN";"L003xL026";1.33440852069135
"2320";"2_PI_LN";"L003xL028";4.37743277454955
"2321";"2_PI_LN";"L003xL029";3.79940046900346
"2322";"2_PI_LN";"L003xL031";5.10364700144413
"2323";"2_PI_LN";"L003xL034";4.42658255450423
"2324";"2_PI_LN";"L003xL039";3.67016816023355
"2325";"2_PI_LN";"L003xL041";3.24780505576047
"2326";"2_PI_LN";"L003xL042";4.75858171144912
"2327";"2_PI_LN";"L003xL043";4.15959026019497
"2328";"2_PI_LN";"L003xL044";5.11457208688974
"2329";"2_PI_LN";"L003xL045";5.22449854979467
"2330";"2_PI_LN";"L003xL047";1.69857514344912
"2331";"2_PI_LN";"L003xL048";2.5009805733086
"2332";"2_PI_LN";"L003xL049";5.40283980982426
"2333";"2_PI_LN";"L003xL056";8.14138529518162
"2334";"2_PI_LN";"L005xL006";5.64250840179467
"2335";"2_PI_LN";"L005xL007";5.53009708682104
"2336";"2_PI_LN";"L005xL008";3.97749815626957
"2337";"2_PI_LN";"L005xL014C";2.90085859700346
"2338";"2_PI_LN";"L005xL015";3.09420535751462
"2339";"2_PI_LN";"L005xL017";6.82840942820768
"2340";"2_PI_LN";"L005xL024";6.51032040382104
"2341";"2_PI_LN";"L005xL035";3.27388342532952
"2342";"2_PI_LN";"L005xL038";3.78051502064429
"2343";"2_PI_LN";"L005xL039";3.19911976658312
"2344";"2_PI_LN";"L005xL041";2.17571337282426
"2345";"2_PI_LN";"L005xL044";4.3684734216404
"2346";"2_PI_LN";"L005xL045";3.85100332244413
"2347";"2_PI_LN";"L005xL046";4.30324203688974
"2348";"2_PI_LN";"L005xL047";2.47534087533909
"2349";"2_PI_LN";"L005xL048";3.6502482253086
"2350";"2_PI_LN";"L005xL055";2.86516941355867
"2351";"2_PI_LN";"L005xL056";4.42985450416206
"2352";"2_PI_LN";"L006xL007";4.95890439350423
"2353";"2_PI_LN";"L006xL007B";5.50215845979711
"2354";"2_PI_LN";"L006xL011";4.82037151021283
"2355";"2_PI_LN";"L006xL013";3.9047821246404
"2356";"2_PI_LN";"L006xL014C";3.76579309915857
"2357";"2_PI_LN";"L006xL015";3.78593288282104
"2358";"2_PI_LN";"L006xL016";4.80513959913793
"2359";"2_PI_LN";"L006xL018";4.74518353950423
"2360";"2_PI_LN";"L006xL022";5.16418433844912
"2361";"2_PI_LN";"L006xL023";4.70100575595247
"2362";"2_PI_LN";"L006xL025";3.87939983879711
"2363";"2_PI_LN";"L006xL026";3.67176397744912
"2364";"2_PI_LN";"L006xL029";5.98057171255867
"2365";"2_PI_LN";"L006xL031";4.98260019637247
"2366";"2_PI_LN";"L006xL033";3.30206971027388
"2367";"2_PI_LN";"L006xL034";4.23667416715552
"2368";"2_PI_LN";"L006xL037";3.15847519416206
"2369";"2_PI_LN";"L006xL038";3.32521248088974
"2370";"2_PI_LN";"L006xL039";3.29004034115552
"2371";"2_PI_LN";"L006xL041";4.54403615113793
"2372";"2_PI_LN";"L006xL042";3.06086867644413
"2373";"2_PI_LN";"L006xL049";2.97632589219497
"2374";"2_PI_LN";"L006xL054";2.82500820615857
"2375";"2_PI_LN";"L006xL058";4.07788791237454
"2376";"2_PI_LN";"L007xL008";2.64363418884565
"2377";"2_PI_LN";"L007xL010";3.81452098376047
"2378";"2_PI_LN";"L007xL011";5.80928349264429
"2379";"2_PI_LN";"L007xL012";4.77450613973919
"2380";"2_PI_LN";"L007xL014B";3.19125597000346
